epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_income_level_spearman_rho,val_kstar_proxy_income_level_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_income_recent_level_spearman_rho,val_kstar_proxy_income_recent_level_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_income_growth_signal_spearman_rho,val_kstar_proxy_income_growth_signal_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2
1.0,1.7149783372879028,1.7149783372879028,,,,,,11.140137886209022,11.140137886209022,11.140137886209022,0.0,1.0,6.586181640625,6.586181640625,,,,,,6.586181426543094,2.5418178077254976,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.5,6.0,1.5,5.0,1.5,5.0,1.5,5.0,0.6931471805599453,0.0,1.0,1.0,0.0
2.0,1.3523027896881104,1.3523027896881104,,,,,,9.143121759782273,9.143121759782273,9.143121759782273,0.0,1.0,5.485185146331787,5.485185146331787,,,,,,5.485184543114737,2.314676533941002,0.0,1.502217411994934,0.0073923539469238535,0.0,-1.0,-0.17328004508879272,0.45255889255530307,0.17328004508879272,1.0,0.007644707871564384,0.9737642142399653,-0.007644707871564384,1.0,-0.17328004508879272,0.45255889255530307,0.17328004508879272,1.0,-0.17328004508879272,0.17328004508879272,-0.06880237084407945,0.7669728112976586,0.06880237084407945,1.0,-0.06880237084407945,0.06880237084407945,0.05096471914376255,0.82634570000905,-0.05096471914376255,1.0,0.05096471914376255,-0.05096471914376255,1.5023595094680786,6.0,1.5,5.0,1.5064820528030396,5.0,1.5,5.0,0.6930279798437864,0.00045156188235575704,0.9047619047619048,0.9047619047619048,0.09523809523809523
3.0,1.0748172998428345,1.0748172998428345,,,,,,7.211784214907912,7.211784214907912,7.211784214907912,0.0,1.0,4.5009026527404785,4.5009026527404785,,,,,,4.500902925746357,2.0897117904609157,0.0,1.5003843307495117,0.0016330856472565871,0.0,-1.0,-0.17328004508879272,0.45255889255530307,0.17328004508879272,1.0,0.007644707871564384,0.9737642142399653,-0.007644707871564384,1.0,-0.17328004508879272,0.45255889255530307,0.17328004508879272,1.0,-0.17328004508879272,0.17328004508879272,-0.06880237084407945,0.7669728112976586,0.06880237084407945,1.0,-0.06880237084407945,0.06880237084407945,0.05096471914376255,0.82634570000905,-0.05096471914376255,1.0,0.05096471914376255,-0.05096471914376255,1.5000650485356648,6.0,1.5,5.0,1.5015356302261353,5.0,1.5,5.0,0.6931415508340102,2.5108839808896796e-05,0.9047619047619048,0.9047619047619048,0.09523809523809523
4.0,0.8739660978317261,0.8739660978317261,,,,,,5.699863587243309,5.699863587243309,5.699863587243309,0.0,1.0,3.6607909202575684,3.6607909202575684,,,,,,3.6607911686487222,1.8769285993739253,0.0,1.5240049362182617,0.10643968924342058,0.0,-1.0,0.4244286161325478,0.055152371209924625,-0.4244286161325478,1.0,0.3231202781109597,0.1530864120160192,-0.3231202781109597,1.0,0.4244286161325478,0.055152371209924625,-0.4244286161325478,1.0,0.4244286161325478,-0.4244286161325478,0.3839052809239125,0.08577835798596552,-0.3839052809239125,1.0,0.3839052809239125,-0.3839052809239125,0.16102693727641887,0.48561215506657374,-0.16102693727641887,1.0,0.16102693727641887,-0.16102693727641887,1.499965985616048,6.0,1.5,5.0,1.5008618831634521,5.0,1.6,5.0,0.6601384080254864,0.14761139451181352,0.9047619047619048,0.9047619047619048,0.09523809523809523
5.0,0.7379254102706909,0.7379254102706909,,,,,,4.8445386001472075,4.8445386001472075,4.8445386001472075,0.0,1.0,2.9750399589538574,2.9750399589538574,,,,,,2.9750399989093768,1.68534233225953,0.0,1.498087763786316,0.027112375241279293,0.0,-1.0,0.21197045562034822,0.35630252184637645,-0.21197045562034822,1.0,0.44018682207291293,0.045828184764607094,-0.44018682207291293,1.0,0.21197045562034822,0.35630252184637645,-0.21197045562034822,1.0,0.21197045562034822,-0.21197045562034822,0.34039051267501175,0.13107991994629126,-0.34039051267501175,1.0,0.34039051267501175,-0.34039051267501175,0.5260580650432,0.014304085084847817,-0.5260580650432,1.0,0.5260580650432,-0.5260580650432,1.4974866310755413,6.0,1.5032909393310547,5.0,1.478735899925232,5.0,1.5129576206207276,5.0,0.6916597849949926,0.005239288293338658,0.7619047619047619,0.7619047619047619,0.23809523809523808
6.0,0.6345009207725525,0.6345009207725525,,,,,,4.543688591800103,4.543688591800103,4.543688591800103,0.0,1.0,2.437340021133423,2.437340021133423,,,,,,2.4373399099717252,1.5208012270075935,0.0,1.5126914978027344,0.023132296655248498,0.0,-1.0,0.2884092454887619,0.2048416668120471,-0.2884092454887619,1.0,0.3360364603401171,0.1364018980629957,-0.3360364603401171,1.0,0.2884092454887619,0.2048416668120471,-0.2884092454887619,1.0,0.2884092454887619,-0.2884092454887619,0.3611730459561101,0.10770414905138753,-0.3611730459561101,1.0,0.3611730459561101,-0.3611730459561101,0.310899874724124,0.17013757448134337,-0.310899874724124,1.0,0.310899874724124,-0.310899874724124,1.5014904737472534,6.0,1.5122830152511597,5.0,1.5289361000061035,5.0,1.510296845436096,5.0,0.6917478840134853,0.004336127528898712,0.5714285714285714,0.42857142857142855,0.5714285714285714
7.0,0.5469598770141602,0.5469598770141602,,,,,,4.442596267908151,4.442596267908151,4.442596267908151,0.0,1.0,2.0273373126983643,2.0273373126983643,,,,,,2.0273370860423996,1.38446353535567,0.0,1.5107530355453491,0.01136008849699768,0.0,-1.0,0.38881697374119883,0.08151198294250717,-0.38881697374119883,1.0,0.413524406855188,0.062408954635550885,-0.413524406855188,1.0,0.38881697374119883,0.08151198294250717,-0.38881697374119883,1.0,0.38881697374119883,-0.38881697374119883,0.45253614335096043,0.039413357956627204,-0.45253614335096043,1.0,0.45253614335096043,-0.45253614335096043,0.3849158000916215,0.08488735973844876,-0.3849158000916215,1.0,0.3849158000916215,-0.3849158000916215,1.505941092967987,6.0,1.5068394660949707,5.0,1.511153793334961,5.0,1.5200403451919555,5.0,0.6926574569670957,0.0009201111864746308,0.8095238095238095,0.19047619047619047,0.8095238095238095
8.0,0.4704451262950897,0.4704451262950897,,,,,,4.33678999069776,4.33678999069776,4.33678999069776,0.0,1.0,1.7189031839370728,1.7189031839370728,,,,,,1.7189030555826332,1.2739475447507131,0.0,1.509088397026062,0.00791173311361516,0.0,-1.0,0.18122768088003702,0.43176247428559156,-0.18122768088003702,1.0,0.303345257960492,0.18130869215727796,-0.303345257960492,1.0,0.18122768088003702,0.43176247428559156,-0.18122768088003702,1.0,0.18122768088003702,-0.18122768088003702,0.2656706863080113,0.24443482575849923,-0.2656706863080113,1.0,0.2656706863080113,-0.2656706863080113,0.3683014159820107,0.10043238869217494,-0.3683014159820107,1.0,0.3683014159820107,-0.3683014159820107,1.5107436378796895,6.0,1.5058091640472413,5.0,1.5069796085357665,5.0,1.512490153312683,5.0,0.6928566773789914,0.0005133189732081983,0.9047619047619048,0.09523809523809523,0.9047619047619048
9.0,0.39618226885795593,0.39618226885795593,,,,,,4.0632485610872875,4.0632485610872875,4.0632485610872875,0.0,1.0,1.48607337474823,1.48607337474823,,,,,,1.4860733386491296,1.1845743576330798,0.0,1.5077250003814697,0.0049011786592729305,0.0,-1.0,0.14225398606712583,0.5384797047450258,-0.14225398606712583,1.0,0.2708671789497327,0.2349811417664748,-0.2708671789497327,1.0,0.14225398606712583,0.5384797047450258,-0.14225398606712583,1.0,0.14225398606712583,-0.14225398606712583,0.23059436097639116,0.3145851407989361,-0.23059436097639116,1.0,0.23059436097639116,-0.23059436097639116,0.34491719909426394,0.12570543108312895,-0.34491719909426394,1.0,0.34491719909426394,-0.34491719909426394,1.5079822341601055,6.0,1.5056023597717285,5.0,1.5066225290298463,5.0,1.5106408834457397,5.0,0.69297977059768,0.00017068574616511462,0.9047619047619048,0.09523809523809523,0.9047619047619048
10.0,0.32106253504753113,0.32106253504753113,,,,,,3.611354706904697,3.611354706904697,3.611354706904697,0.0,1.0,1.3074818849563599,1.3074818849563599,,,,,,1.307481782007312,1.1113036062036241,0.0,1.5077964067459106,0.004021717311534995,0.0,-1.0,0.12857142857142856,0.5786044448638965,-0.12857142857142856,1.0,0.14805194805194805,0.5218737233561959,-0.14805194805194805,1.0,0.12857142857142856,0.5786044448638965,-0.12857142857142856,1.0,0.12857142857142856,-0.12857142857142856,0.17272727272727273,0.45402436101288696,-0.17272727272727273,1.0,0.17272727272727273,-0.17272727272727273,0.18051948051948052,0.433594674982858,-0.18051948051948052,1.0,0.18051948051948052,-0.18051948051948052,1.507401704788208,6.0,1.5070302486419678,5.0,1.506775426864624,5.0,1.5100571632385253,5.0,0.692993249807444,0.00011851747035344729,0.9523809523809523,0.047619047619047616,0.9523809523809523
