epoch,train_task_loss,train_grad_norm,val_task_loss,val_task_mae,val_task_r2
1.0,0.4152701497077942,3.6441025733947754,0.33319419622421265,0.4646425019070739,-0.5378040699497096
2.0,0.32141274213790894,3.9831438064575195,0.25759902596473694,0.40833296843396966,-0.18130087840238462
3.0,0.23049409687519073,1.6781238317489624,0.23028220236301422,0.38817438470141497,-0.05652382991466195
4.0,0.20008452236652374,2.327568531036377,0.2160315215587616,0.3763833674468333,0.009206698662766234
5.0,0.1723155379295349,1.905068278312683,0.2072106897830963,0.36607747913862115,0.050035454144913484
6.0,0.15047356486320496,0.4068450927734375,0.21539130806922913,0.37121529778058177,0.009555883899869416
7.0,0.15082702040672302,1.4172585010528564,0.2110585719347,0.36807839544082527,0.028788297220090464
8.0,0.14183221757411957,1.0247459411621094,0.2030620574951172,0.36346651864761953,0.06565152548914077
9.0,0.13337376713752747,0.5750542879104614,0.20095229148864746,0.3618324179347837,0.07529664965764858
10.0,0.1314881294965744,1.094704508781433,0.19756916165351868,0.35736057066882493,0.09222632185317205
11.0,0.12498826533555984,0.715202271938324,0.19878588616847992,0.3570405281480635,0.08792543383271847
12.0,0.12031444162130356,0.3180333971977234,0.2038508504629135,0.36173636771331075,0.06491966274945463
13.0,0.11970225721597672,0.8177788853645325,0.20360717177391052,0.36153284075728154,0.06633125307771315
14.0,0.11613823473453522,0.6835498809814453,0.20037619769573212,0.35831992751511277,0.08124951070742074
15.0,0.11200252175331116,0.1501678079366684,0.19989635050296783,0.35761685330013276,0.08290768816788399
16.0,0.11083558946847916,0.5164250135421753,0.20097999274730682,0.35872730615141335,0.07773795602154968
17.0,0.10939660668373108,0.6346482038497925,0.20204322040081024,0.3597248691000277,0.07340200442794365
18.0,0.10562539845705032,0.29445159435272217,0.20416457951068878,0.3614300190337235,0.06410770028865667
19.0,0.10329347103834152,0.3621619939804077,0.20454928278923035,0.3619462694280082,0.06252911605973635
20.0,0.10155627876520157,0.6288689374923706,0.19997535645961761,0.358002848913311,0.08393098777517274
21.0,0.09797640889883041,0.3728668689727783,0.19447478652000427,0.35329030855500604,0.10927600402013156
22.0,0.09539533406496048,0.2780994176864624,0.19018889963626862,0.34944203566701615,0.12892698276935288
23.0,0.09413699805736542,0.5886427760124207,0.18497104942798615,0.34492404606135096,0.1536662671419204
24.0,0.09119154512882233,0.2780284583568573,0.18155087530612946,0.342743817762821,0.16977554589922944
25.0,0.08969248831272125,0.46289294958114624,0.17602308094501495,0.3372288793226471,0.1958248304971762
26.0,0.08774944394826889,0.29199331998825073,0.1707131713628769,0.3304786139162024,0.2206867589902463
27.0,0.0860917866230011,0.45021724700927734,0.1672441065311432,0.3267192097561201,0.23748738738458589
28.0,0.08367396891117096,0.3944467008113861,0.16598306596279144,0.32538128208310807,0.2443308104764618
29.0,0.08163142204284668,0.30243661999702454,0.1645752340555191,0.32343644931388554,0.251397139396301
30.0,0.0801902562379837,0.38976797461509705,0.1616784632205963,0.31988721480534876,0.2649547696523329
31.0,0.07865370810031891,0.19747215509414673,0.1603894829750061,0.3184210286143934,0.2709500807464919
32.0,0.07755590230226517,0.3523961901664734,0.15973898768424988,0.31768724666850173,0.2745905318158238
33.0,0.0756605863571167,0.15618862211704254,0.15935908257961273,0.3175103103875881,0.2764334798256158
34.0,0.07433105260133743,0.3531341254711151,0.1569186896085739,0.314673077230691,0.28717351038633937
35.0,0.07292595505714417,0.17269013822078705,0.15576058626174927,0.3131264849001309,0.2917493597315204
36.0,0.07181242853403091,0.2807783782482147,0.15573005378246307,0.31288825561699923,0.2916050599930367
37.0,0.07029320299625397,0.2619069814682007,0.15488135814666748,0.31146328526490835,0.2947283774536512
38.0,0.06867790967226028,0.10960166156291962,0.15462587773799896,0.31073047326819503,0.29490077059975545
39.0,0.06790191680192947,0.3523593246936798,0.1548016369342804,0.310658113923273,0.29459247455463144
40.0,0.06607610732316971,0.08380559831857681,0.1553877741098404,0.3108412368776044,0.29220608090577044
41.0,0.06544976681470871,0.24708200991153717,0.15472564101219177,0.30955226798483637,0.2948318503064122
42.0,0.0639997273683548,0.15783506631851196,0.15454693138599396,0.30895462610700636,0.29553547218272735
43.0,0.062488287687301636,0.17021290957927704,0.1546059101819992,0.30870146853791086,0.29554523189903587
44.0,0.06143379211425781,0.20281900465488434,0.1538563072681427,0.3076313483150443,0.2984133775290948
45.0,0.0600738599896431,0.1193825900554657,0.15318304300308228,0.3064144511189079,0.300472077757037
46.0,0.05923258513212204,0.1959647685289383,0.15267980098724365,0.3059894418198382,0.30303588771160245
47.0,0.05784323439002037,0.09047506004571915,0.15225037932395935,0.3055716009804746,0.30513199550986014
48.0,0.056480176746845245,0.15850992500782013,0.1516653299331665,0.30456440447305794,0.3074364530686769
49.0,0.05561621114611626,0.14848339557647705,0.15128615498542786,0.30415839415916707,0.309572188303197
50.0,0.05444517359137535,0.07832589745521545,0.1510978788137436,0.30400247530953495,0.310963005419323
51.0,0.053178537636995316,0.17948941886425018,0.15067137777805328,0.3032102368440246,0.31258724732088394
52.0,0.052329424768686295,0.1007394790649414,0.15037883818149567,0.3026642758812523,0.3140293751426092
53.0,0.05132452771067619,0.06866621971130371,0.15019796788692474,0.3023730942973634,0.31521660271499363
54.0,0.050342757254838943,0.11252955347299576,0.1502990871667862,0.3024580450955546,0.31461110734903464
55.0,0.04931578412652016,0.08117906749248505,0.15042026340961456,0.3026041793724289,0.31442868081991027
56.0,0.048391759395599365,0.05320777744054794,0.15054284036159515,0.30278506155998913,0.31450855386579324
57.0,0.047708798199892044,0.09288385510444641,0.15060868859291077,0.302792988307192,0.3142956477212927
58.0,0.04723101481795311,0.03965165466070175,0.150612935423851,0.30267405942024195,0.3141910649621017
59.0,0.04593357443809509,0.07249917834997177,0.15051032602787018,0.30225462276430337,0.3149484562138267
60.0,0.04543159529566765,0.07643291354179382,0.15048646926879883,0.301900607663556,0.3148000960444962
61.0,0.044154271483421326,0.05026255175471306,0.15054810047149658,0.30159526503121015,0.314401993243415
62.0,0.04322732239961624,0.044631339609622955,0.15063047409057617,0.3014510848320788,0.3141351755258962
63.0,0.04297512769699097,0.0808306336402893,0.15078160166740417,0.3013962806010386,0.31297585403273154
64.0,0.041961587965488434,0.10866620391607285,0.15084132552146912,0.30130590640415905,0.3131317894820294
65.0,0.041372913867235184,0.08574569225311279,0.15102584660053253,0.30125682286859956,0.31202873204503107
66.0,0.04071106016635895,0.037055179476737976,0.15118566155433655,0.3011912362644216,0.3112751711927925
67.0,0.03962764889001846,0.04019276425242424,0.15121714770793915,0.30113472426251975,0.3110622006636623
68.0,0.03938938304781914,0.0420636348426342,0.15136899054050446,0.30109931583458094,0.30996871354034894
69.0,0.03841986507177353,0.04051680490374565,0.15171077847480774,0.30133903097768777,0.3082149512241258
70.0,0.0381748303771019,0.039659589529037476,0.15220902860164642,0.3017423343838891,0.3056490000528103
71.0,0.03773815929889679,0.05674820765852928,0.15265583992004395,0.3022966219991213,0.30392026431140196
72.0,0.03734258934855461,0.052840668708086014,0.15311118960380554,0.3028059098770609,0.3016608824748789
73.0,0.036628611385822296,0.030493583530187607,0.15364257991313934,0.3034091237274697,0.2989153554579427
