epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_formal_income_level_spearman_rho,val_kstar_proxy_formal_income_level_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_formalization_ratio_spearman_rho,val_kstar_proxy_formalization_ratio_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_formal_capacity_signal_spearman_rho,val_kstar_proxy_formal_capacity_signal_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_formal_income_level_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_formalization_ratio_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_formal_capacity_signal_recon_r2
1.0,2.5839836597442627,2.4406702518463135,1.43313467502594,1.8266476392745972,0.0,0.0,0.0,20.45218087150708,20.45218087150708,20.452040240405506,0.07584461532610653,1.0,23.262460708618164,23.118867874145508,1.4359265565872192,1.8374502658843994,0.0,0.0,0.0,23.118868643122898,4.769330869827952,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.5,6.0,1.5,5.0,1.5,5.0,1.5,5.0,0.6931471805599453,0.0,1.0,1.0,0.0,0.05690828579098943,0.13376623376623376,0.5632192812726847,-0.13376623376623376,1.0,0.13376623376623376,0.5632192812726847,-1.0,-0.13376623376623376,1.0,-6.883589812144532e-05,1.3947486877441406e-05,1.0758756399154663,1.0758895874023438,-0.4359265271077785,-0.8374504750002316,1.0,-0.8374504750002316,-0.8374504750002316,-0.3254617139222531,-0.3254617139222531,-0.14486739240085167,-0.14486739240085167
2.0,1.9040024280548096,1.7604097127914429,1.4359265565872192,1.8374502658843994,0.0,0.0,0.0,17.085396095145093,17.085396095145093,17.08522698554684,0.07601697403342958,1.0,21.222017288208008,21.07814598083496,1.4387130737304688,1.8481615781784058,0.0,0.0,0.0,21.078148410439788,4.550951471818345,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.5,6.0,1.5,5.0,1.5,5.0,1.5,5.0,0.6931471805599453,0.0,1.0,1.0,0.0,0.05626835215783537,0.15324675324675324,0.5072039302125892,-0.15324675324675324,1.0,0.15324675324675324,0.5072039302125892,-1.0,-0.15324675324675324,1.0,-6.425713320638287e-05,1.2636184692382812e-05,1.0758750438690186,1.075887680053711,-0.4387130808357393,-0.8481614214510131,1.0,-0.8481614214510131,-0.8481614214510131,-0.32376377028327474,-0.32376377028327474,-0.1442140507729308,-0.1442140507729308
3.0,1.3573087453842163,1.2134374380111694,1.4387130737304688,1.8481615781784058,0.0,0.0,0.0,13.482399469437349,13.482399469437349,13.482184073039901,0.07621072203898221,1.0,19.294483184814453,19.150344848632812,1.4413846731185913,1.8584489822387695,0.0,0.0,0.0,19.150344981546294,4.335101433098316,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.5,6.0,1.5,5.0,1.5,5.0,1.5,5.0,0.6931471805599453,0.0,1.0,1.0,0.0,0.055516350722542136,0.18051948051948052,0.433594674982858,-0.18051948051948052,1.0,0.18051948051948052,0.433594674982858,-1.0,-0.18051948051948052,1.0,-5.9748632498818075e-05,1.1324882507324219e-05,1.07587468624115,1.0758860111236572,-0.4413847073206986,-0.858448860903426,1.0,-0.858448860903426,-0.858448860903426,-0.3221108948215514,-0.3221108948215514,-0.14359436623711885,-0.14359436623711885
4.0,0.9550179243087769,0.8108794689178467,1.4413846731185913,1.8584489822387695,0.0,0.0,0.0,10.048332642065139,10.048332642065139,10.048042042180812,0.07641991990737881,1.0,17.53451156616211,17.390111923217773,1.4440059661865234,1.8684990406036377,0.0,0.0,0.0,17.390112731868943,4.129032344335601,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.5,6.0,1.5,5.0,1.5,5.0,1.5,5.0,0.6931471805599453,0.0,1.0,1.0,0.0,0.05487308956995337,0.187012987012987,0.4169505000140746,-0.187012987012987,1.0,0.187012987012987,0.4169505000140746,-1.0,-0.187012987012987,1.0,-5.6368120472352796e-05,1.0251998901367188e-05,1.0758743286132812,1.0758845806121826,-0.4440061224936524,-0.8684993052830994,1.0,-0.8684993052830994,-0.8684993052830994,-0.32051348207768693,-0.32051348207768693,-0.14300558012017128,-0.14300558012017128
5.0,0.6718559861183167,0.5274553894996643,1.4440059661865234,1.8684990406036377,0.0,0.0,0.0,7.121778324963608,7.121778324963608,7.121365864764774,0.07664678782900272,1.0,15.984457015991211,15.83979320526123,1.4466339349746704,1.8784757852554321,0.0,0.0,0.0,15.839793356973622,3.9403541201636907,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.5,6.0,1.5,5.0,1.5,5.0,1.5,5.0,0.6931471805599453,0.0,1.0,1.0,0.0,0.05431225430192358,0.18441558441558442,0.42356621430502056,-0.18441558441558442,1.0,0.18441558441558442,0.42356621430502056,-1.0,-0.18441558441558442,1.0,-5.2265922014763267e-05,9.298324584960938e-06,1.0758739709854126,1.0758832693099976,-0.44663396858907073,-0.8784756679184413,1.0,-0.8784756679184413,-0.8784756679184413,-0.31897541909289995,-0.31897541909289995,-0.14245081875587107,-0.14245081875587107
6.0,0.49432316422462463,0.3496597707271576,1.4466339349746704,1.8784757852554321,0.0,0.0,0.0,4.834240036535221,4.834240036535221,4.833628491828384,0.07689170192496061,1.0,14.681024551391602,14.536121368408203,1.4490306377410889,1.8876497745513916,0.0,0.0,0.0,14.536121382789268,3.7771317760149636,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.5,6.0,1.5,5.0,1.5,5.0,1.5,5.0,0.6931471805599453,0.0,1.0,1.0,0.0,0.053696833587438646,0.17792207792207793,0.4403496824576795,-0.17792207792207793,1.0,0.17792207792207793,0.4403496824576795,-1.0,-0.17792207792207793,1.0,-5.031966848777206e-05,8.463859558105469e-06,1.075873613357544,1.075882077217102,-0.44903082210014894,-0.8876497029315775,1.0,-0.8876497029315775,-0.8876497029315775,-0.31750444206364636,-0.31750444206364636,-0.14193832130522388,-0.14193832130522388
7.0,0.3856395184993744,0.2407364547252655,1.4490306377410889,1.8876497745513916,0.0,0.0,0.0,3.26778466174371,3.26778466174371,3.2668740403889114,0.07714013067452953,1.0,13.637967109680176,13.492834091186523,1.451331615447998,1.8964293003082275,0.0,0.0,0.0,13.492834293902067,3.6440372720715546,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.5,6.0,1.5,5.0,1.5,5.0,1.5,5.0,0.6931471805599453,0.0,1.0,1.0,0.0,0.05327077445487858,0.18051948051948052,0.433594674982858,-0.18051948051948052,1.0,0.18051948051948052,0.433594674982858,-1.0,-0.18051948051948052,1.0,-4.82598162595156e-05,7.867813110351562e-06,1.0758732557296753,1.0758811235427856,-0.4513315956269019,-0.896429462445121,1.0,-0.896429462445121,-0.896429462445121,-0.31610317909924635,-0.31610317909924635,-0.14146214533633827,-0.14146214533633827
8.0,0.31644368171691895,0.17131049931049347,1.451331615447998,1.8964293003082275,0.0,0.0,0.0,2.502469062906467,2.502469062906467,2.501271886550994,0.0773974182618721,1.0,12.872984886169434,12.727620124816895,1.4536452293395996,1.90518319606781,0.0,0.0,0.0,12.727619648175597,3.5455903694743203,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.5,6.0,1.5,5.0,1.5,5.0,1.5,5.0,0.6931471805599453,0.0,1.0,1.0,0.0,0.05334055623540206,0.20649350649350648,0.3691521306594588,-0.20649350649350648,1.0,0.20649350649350648,0.3691521306594588,-1.0,-0.20649350649350648,1.0,-4.5229655886046006e-05,7.033348083496094e-06,1.0758730173110962,1.0758800506591797,-0.4536452191950222,-0.9051831439310067,1.0,-0.9051831439310067,-0.9051831439310067,-0.31475679650688027,-0.31475679650688027,-0.14099571714717984,-0.14099571714717984
9.0,0.282034695148468,0.13667017221450806,1.4536452293395996,1.90518319606781,0.0,0.0,0.0,2.530810175048707,2.530810175048707,2.529618155107208,0.07766679781007352,1.0,12.388123512268066,12.242526054382324,1.4559749364852905,1.9139703512191772,0.0,0.0,0.0,12.242525853011605,3.483605770837693,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.5,6.0,1.5,5.0,1.5,5.0,1.5,5.0,0.6931471805599453,0.0,1.0,1.0,0.0,0.05381758278046182,0.20649350649350648,0.3691521306594588,-0.20649350649350648,1.0,0.20649350649350648,0.3691521306594588,-1.0,-0.20649350649350648,1.0,-4.396302383479952e-05,6.67572021484375e-06,1.0758726596832275,1.0758793354034424,-0.4559748714802976,-0.9139702025841063,1.0,-0.9139702025841063,-0.9139702025841063,-0.3134355077399711,-0.3134355077399711,-0.14051890411681578,-0.14051890411681578
10.0,0.25756311416625977,0.111965611577034,1.4559749364852905,1.9139703512191772,0.0,0.0,0.0,2.718876795243863,2.718876795243863,2.7177592905991945,0.07794527617054982,1.0,12.154146194458008,12.008322715759277,1.4582340717315674,1.922536015510559,0.0,0.0,0.0,12.0083227349579,3.4551328278723217,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.5,6.0,1.5,5.0,1.5,5.0,1.5,5.0,0.6931471805599453,0.0,1.0,1.0,0.0,0.054676366825388,0.21428571428571425,0.35094954850355253,-0.21428571428571425,1.0,0.21428571428571425,0.35094954850355253,-1.0,-0.21428571428571425,1.0,-4.207809431936865e-05,6.198883056640625e-06,1.0758724212646484,1.075878620147705,-0.4582340112374484,-0.9225358517771469,1.0,-0.9225358517771469,-0.9225358517771469,-0.3121390860359736,-0.3121390860359736,-0.14002709589922513,-0.14002709589922513
